"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV16_Int"
"016","000","0813315","SA070290009",,"S.Claibornei","Salmonella Claibornei",,,,,,"20071127",813315
"016","000","0813316","SA130780009",,"S.Clanvillian","Salmonella Clanvillian",,,,,,"20071127",813316
"016","000","0813317","SA090320009",,"S.Clerkenwell","Salmonella Clerkenwell",,,,,,"20071127",813317
"016","000","0813318","SA040810009",,"S.Cleveland","Salmonella Cleveland",,,,,,"20071127",813318
"016","000","0813319","SA081420009",,"S.Cochin","Salmonella Cochin",,,,,,"20071127",813319
"016","000","0813320","SA040860009",,"S.Cocody","Salmonella Cocody",,,,,,"20071127",813320
"016","000","0813321","SA020530009",,"S.Coeln","Salmonella Coeln",,,,,,"20071127",813321
"016","000","0813322","SA030160009",,"S.Coleypark","Salmonella Coleypark",,,,,,"20071127",813322
"016","000","0813323","SA030161009",,"S.Coleypark O:14+","Salmonella Coleypark O:14+",,,,,,"20071127",813323
"016","000","0813324","SA130510009",,"S.Colobane","Salmonella Colobane",,,,,,"20071127",813324
"016","000","0813325","SA240110009",,"S.Colombo","Salmonella Colombo",,,,,,"20071127",813325
"016","000","0813326","SA030310009",,"S.Concord","Salmonella Concord",,,,,,"20071127",813326
"016","000","0813327","SA140460009",,"S.Congo","Salmonella Congo",,,,,,"20071127",813327
"016","000","0813328","SA130710009",,"S.Connecticut","Salmonella Connecticut",,,,,,"20071127",813328
"016","000","0813329","SA281910009",,"S.Coogee","Salmonella Coogee",,,,,,"20071127",813329
"016","000","0813330","SA090350009",,"S.Coquilhatville","Salmonella Coquilhatville",,,,,,"20071127",813330
"016","000","0813331","SA031630009",,"S.Coromandel","Salmonella Coromandel",,,,,,"20071127",813331
"016","000","0813332","SA040450009",,"S.Corvallis","Salmonella Corvallis",,,,,,"20071127",813332
"016","000","0813333","SA210550009",,"S.Cotham","Salmonella Cotham",,,,,,"20071127",813333
"016","000","0813334","SA190290009",,"S.Cotia","Salmonella Cotia",,,,,,"20071127",813334
"016","000","0813335","SA041410009",,"S.Cremieu","Salmonella Cremieu",,,,,,"20071127",813335
"016","000","0813336","SA130767009",,"S.Crewe","Salmonella Crewe",,,,,,"20071127",813336
"016","000","0813337","SA210500009",,"S.Croft","Salmonella Croft",,,,,,"20071127",813337
"016","000","0813338","SA210501009",,"S.Croft H:E+,N+,Z15+","Salmonella Croft H:E+,N+,Z15+",,,,,,"20071127",813338
"016","000","0813339","SA284640009",,"S.Crossness","Salmonella Crossness",,,,,,"20071127",813339
"016","000","0813340","SA140240009",,"S.Cubana","Salmonella Cubana",,,,,,"20071127",813340
"016","000","0813341","SA091160009",,"S.Cuckmere","Salmonella Cuckmere",,,,,,"20071127",813341
"016","000","0813342","SA210690009",,"S.Cullingworth","Salmonella Cullingworth",,,,,,"20071127",813342
"016","000","0813343","SA250210009",,"S.Cumberland","Salmonella Cumberland",,,,,,"20071127",813343
"016","000","0813344","SA040010009",,"S.Curacao","Salmonella Curacao",,,,,,"20071127",813344
"016","000","0813345","SA041310009",,"S.Cyprus","Salmonella Cyprus",,,,,,"20071127",813345
"016","000","0813346","SA285000009",,"S.Czernyring","Salmonella Czernyring",,,,,,"20071127",813346
"016","000","0813347","SA041580009",,"S.Daarle","Salmonella Daarle",,,,,,"20071127",813347
"016","000","0813348","SA041300009",,"S.Dabou","Salmonella Dabou",,,,,,"20071127",813348
"016","000","0813349","SA284450009",,"S.Dadzie","Salmonella Dadzie",,,,,,"20071127",813349
"016","000","0813350","SA280210009",,"S.Dahlem","Salmonella Dahlem",,,,,,"20071127",813350
"016","000","0813351","SA281830009",,"S.Dahomey","Salmonella Dahomey",,,,,,"20071127",813351
"016","000","0813352","SA180500009",,"S.Dahra","Salmonella Dahra",,,,,,"20071127",813352
"016","000","0813353","SA210020009",,"S.Dakar","Salmonella Dakar",,,,,,"20071127",813353
"016","000","0813354","SA170910009",,"S.Dakota","Salmonella Dakota",,,,,,"20071127",813354
"016","000","0813355","SA120370009",,"S.Dallgow","Salmonella Dallgow",,,,,,"20071127",813355
"016","000","0813356","SA031560009",,"S.Damman","Salmonella Damman",,,,,,"20071127",813356
"016","000","0813357","SA281260009",,"S.Dan","Salmonella Dan",,,,,,"20071127",813357
"016","000","0813358","SA284220009",,"S.Dapango","Salmonella Dapango",,,,,,"20071127",813358
"016","000","0813359","SA041530009",,"S.Daula","Salmonella Daula",,,,,,"20071127",813359
"016","000","0813360","SA030290009",,"S.Daytona","Salmonella Daytona",,,,,,"20071127",813360
"016","000","0813361","SA081450009",,"S.Deckstein","Salmonella Deckstein",,,,,,"20071127",813361
"016","000","0813362","SA190340009",,"S.Delmenhorst","Salmonella Delmenhorst",,,,,,"20071127",813362
"016","000","0813363","SA230150009",,"S.Dembe","Salmonella Dembe",,,,,,"20071127",813363
"016","000","0813364","SA140320009",,"S.Demerara","Salmonella Demerara",,,,,,"20071127",813364
"016","000","0813365","SA030050009",,"S.Denver","Salmonella Denver",,,,,,"20071127",813365
"016","000","0813366","SA020321009",,"S.Derby O:5-","Salmonella Derby O:5-",,,,,,"20071127",813366
"016","000","0813367","SA285260009",,"S.Derkle","Salmonella Derkle",,,,,,"20071127",813367
"016","000","0813368","SA120230009",,"S.Dessau","Salmonella Dessau",,,,,,"20071127",813368
"016","000","0813369","SA280160009",,"S.Deversoir","Salmonella Deversoir",,,,,,"20071127",813369
"016","000","0813370","SA210920009",,"S.Dibra","Salmonella Dibra",,,,,,"20071127",813370
"016","000","0813371","SA210660009",,"S.Dieuppeul","Salmonella Dieuppeul",,,,,,"20071127",813371
"016","000","0813372","SA140620009",,"S.Diguel","Salmonella Diguel",,,,,,"20071127",813372
"016","000","0813373","SA041040009",,"S.Diogoye","Salmonella Diogoye",,,,,,"20071127",813373
"016","000","0813374","SA200130009",,"S.Diourbel","Salmonella Diourbel",,,,,,"20071127",813374
"016","000","0813375","SA280530009",,"S.Djakarta","Salmonella Djakarta",,,,,,"20071127",813375
"016","000","0813376","SA284460009",,"S.Djama","Salmonella Djama",,,,,,"20071127",813376
"016","000","0813377","SA041110009",,"S.Djelfa","Salmonella Djelfa",,,,,,"20071127",813377
"016","000","0813378","SA210460009",,"S.Djermaia","Salmonella Djermaia",,,,,,"20071127",813378
"016","000","0813379","SA180210009",,"S.Djibouti","Salmonella Djibouti",,,,,,"20071127",813379
"016","000","0813380","SA030530009",,"S.Djugu","Salmonella Djugu",,,,,,"20071127",813380
"016","000","0813381","SA081090009",,"S.Doba","Salmonella Doba",,,,,,"20071127",813381
"016","000","0813382","SA211000009",,"S.Doel","Salmonella Doel",,,,,,"20071127",813382
"016","000","0813383","SA040800009",,"S.Doncaster","Salmonella Doncaster",,,,,,"20071127",813383
"016","000","0813384","SA220070009",,"S.Donna","Salmonella Donna",,,,,,"20071127",813384
"016","000","0813385","SA210610009",,"S.Doorn","Salmonella Doorn",,,,,,"20071127",813385
"016","000","0813386","SA210860009",,"S.Douala","Salmonella Douala",,,,,,"20071127",813386
"016","000","0813387","SA281020009",,"S.Dougi","Salmonella Dougi",,,,,,"20071127",813387
"016","000","0813388","SA220310009",,"S.Doulassame","Salmonella Doulassame",,,,,,"20071127",813388
"016","000","0813389","SA210470009",,"S.Dresden","Salmonella Dresden",,,,,,"20071127",813389
"016","000","0813390","SA260150009",,"S.Driffield","Salmonella Driffield",,,,,,"20071127",813390
"016","000","0813391","SA021290009",,"S.Drogana","Salmonella Drogana",,,,,,"20071127",813391
"016","000","0813392","SA040340009",,"S.Duesseldorf","Salmonella Duesseldorf",,,,,,"20071127",813392
"016","000","0813393","SA280170009",,"S.Dugbe","Salmonella Dugbe",,,,,,"20071127",813393
"016","000","0813394","SA020251009",,"S.Duisburg 1,27;E,N,Z15-Neg","Salmonella Duisburg 1,27;E,N,Z15-Neg",,,,,,"20071127",813394
"016","000","0813395","SA090900009",,"S.Dumfries","Salmonella Dumfries",,,,,,"20071127",813395
"016","000","0813396","SA041570009",,"S.Dunkwa","Salmonella Dunkwa",,,,,,"20071127",813396
"016","000","0813397","SA070050009",,"S.Durban","Salmonella Durban",,,,,,"20071127",813397
"016","000","0813398","SA070051009",,"S.Durban O:1 +","Salmonella Durban O:1 +",,,,,,"20071127",813398
"016","000","0813399","SA140110009",,"S.Durham","Salmonella Durham",,,,,,"20071127",813399
"016","000","0813400","SA260040009",,"S.Duval","Salmonella Duval",,,,,,"20071127",813400
"016","000","0813401","SA230100009",,"S.Ealing","Salmonella Ealing",,,,,,"20071127",813401
