"osm_id","ort","plz","bundesland","PLZ_Int"
157396,"Arnsberg","59759","Nordrhein-Westfalen",59759
157396,"Arnsberg","59821","Nordrhein-Westfalen",59821
157396,"Arnsberg","59823","Nordrhein-Westfalen",59823
959922,"Arnschwang","93473","Bayern",93473
1307625,"Arnsdorf","01477","Sachsen",1477
534472,"Arnshöfen","56244","Rheinland-Pfalz",56244
393582,"Arnstadt","99310","Thüringen",99310
336476,"Arnstein","97450","Bayern",97450
2408603,"Arnstein","06456","Sachsen-Anhalt",6456
957058,"Arnstorf","94424","Bayern",94424
553601,"Arpsdorf","24634","Schleswig-Holstein",24634
959919,"Arrach","93474","Bayern",93474
2387266,"Artern/Unstrut","06556","Thüringen",6556
1388559,"Artlenburg","21380","Niedersachsen",21380
535686,"Arzbach","56337","Rheinland-Pfalz",56337
534446,"Arzberg","04886","Sachsen",4886
1022878,"Arzberg","95659","Bayern",95659
1113734,"Arzfeld","54687","Rheinland-Pfalz",54687
443469,"Asbach","53567","Rheinland-Pfalz",53567
1245096,"Asbach","55758","Rheinland-Pfalz",55758
562971,"Asbach-Bäumenheim","86663","Bayern",86663
2813820,"Asbach-Sickenberg","37318","Thüringen",37318
959656,"Ascha","94347","Bayern",94347
62532,"Aschaffenburg","63739","Bayern",63739
62532,"Aschaffenburg","63741","Bayern",63741
62532,"Aschaffenburg","63743","Bayern",63743
941055,"Aschau am Inn","84544","Bayern",84544
2186909,"Aschau im Chiemgau","83229","Bayern",83229
1246671,"Aschbach","67753","Rheinland-Pfalz",67753
157717,"Ascheberg","59387","Nordrhein-Westfalen",59387
310405,"Ascheberg","24326","Schleswig-Holstein",24326
548614,"Ascheffel","24358","Schleswig-Holstein",24358
2831105,"Aschenhausen","98634","Thüringen",98634
79801,"Aschersleben","06449","Sachsen-Anhalt",6449
2168238,"Aschheim","85609","Bayern",85609
306573,"Asendorf","21271","Niedersachsen",21271
1461193,"Asendorf","27330","Niedersachsen",27330
400932,"Aspach","71546","Baden-Württemberg",71546
405809,"Asperg","71679","Baden-Württemberg",71679
1239627,"Aspisheim","55459","Rheinland-Pfalz",55459
402686,"Assamstadt","97959","Baden-Württemberg",97959
2791715,"Asselfingen","89176","Baden-Württemberg",89176
